track_id,duration,key,loudness,mode,tempo,time_sig
TRAAABD128F429CF47,148.03546,6,-9.843,0,121.274,4
TRAAAEF128F4273421,233.40363,0,-9.013,1,119.293,4
TRAAAFD128F92F423A,209.60608,2,-4.501,1,129.738,4
TRAAARJ128F9320760,269.81832,4,-13.496,1,86.643,4
TRAABJV128F1460C49,307.3824,3,-8.346,1,125.197,3
TRAABLR128F423B7E3,491.12771,7,-8.576,1,119.826,4
TRAABVM128F92CA9DC,290.29832,7,-5.271,1,150.062,4
TRAACER128F4290F96,207.77751,7,-4.264,1,166.862,4
TRAACFV128F935E50B,124.86485,10,-12.332,1,137.522,4
TRAACHN128F1489601,225.09669,7,-5.908,1,164.672,1
TRAADLH12903CA70EE,95.68608,2,-2.022,1,115.887,4
TRAADNA128F9331246,248.78975,1,-7.805,1,116.721,4
TRAADQX128F422B4CF,175.72526,0,-10.93,1,141.919,4
TRAADYB128F92D7E73,251.42812,7,-12.009,1,86.091,5
TRAADYI128E078FB38,269.7922,7,-11.043,1,90.218,4
TRAAENC128F1451DE9,300.79955,7,-13.33,1,124.175,4
TRAAFMS128F933AB23,246.69995,7,-9.603,1,112.903,4
TRAAFUJ128F933F42B,161.38404,5,-9.161,0,96.979,4
TRAAGCZ128F93210FD,229.61587,11,-4.882,0,105.206,4
TRAAGEC128E079252C,426.89261,0,-12.951,0,63.017,4
TRAAGGE128F9325E2C,269.26975,9,-11.751,0,144.603,4
TRAAGHM128EF35CF8E,249.41669,2,-6.693,1,167.92,4
TRAAGJV128F1464090,136.48934,9,-9.091,1,129.122,1
TRAAGMJ12903CAD7D4,272.63955,2,-9.97,1,119.896,5
TRAAGPF12903CE027E,195.91791,3,-11.98,1,91.487,4
TRAAGPJ128F428CD1B,288.41751,2,-8.165,1,115.606,4
TRAAGVM128E0784D95,239.3073,2,-5.758,1,86.938,4
TRAAHEG128E07861C3,124.18567,1,-10.296,0,85.008,5
TRAAHRF128F92FE234,324.44036,7,-11.829,1,216.195,5
TRAAHZP12903CA25F4,198.3473,11,-8.709,0,175.769,4
TRAAIAE128F42AC53D,261.95546,7,-13.627,1,100.194,3
TRAAIAX128F930531B,220.89098,9,-6.302,1,119.691,4
TRAAIHL128F92E6DDA,329.27302,8,-7.103,1,116.473,4
TRAAIII128F427D5D8,283.21914,2,-15.144,1,111.191,3
TRAAJAC128F148B530,338.33751,2,-14.248,0,130.027,4
TRAAJEK128F422F55A,193.4624,0,-5.913,0,119.979,4
TRAAJJA12903CC518A,234.762,5,-6.019,1,188.886,4
TRAAJJG128F4284B27,292.8322,9,-4.953,1,133.306,4
TRAAJMH128E0785407,270.68036,1,-11.061,1,166.275,4
TRAAJYX128F4255568,301.81832,10,-8.095,0,61.971,1
TRAAKAS128F4246013,416.80934,6,-7.982,0,124.04,5
TRAAMES128F42AF068,428.56444,4,-8.403,0,105.994,3
TRAAMFG128F92FDEA2,185.7824,8,-13.251,1,88.489,1
TRAAMPA128F92E7D0D,140.66893,6,-28.347,0,89.495,4
TRAAMYQ128F148B753,143.0722,0,-15.351,1,99.408,4
TRAANBH128F9345A6C,124.15955,11,-4.793,1,133.729,1
TRAAOIN128F9303790,190.24934,4,-4.172,0,75.031,4
TRAAOJI128F1458DCD,255.16363,7,-10.756,1,150.837,4
TRAAOYG128F9314996,180.00934,0,-13.668,1,133.009,4
TRAAPCC128F42519A7,244.45342,6,-6.885,1,146.577,5
TRAAPGF128F1458F8B,388.28363,0,-16.433,1,132.506,4
TRAAPIV128F1493132,345.93914,2,-6.951,1,153.862,4
TRAAPPQ128F14961F5,261.74649,0,-9.628,1,124.086,4
TRAAQBF12903CF796B,133.27628,5,-15.736,1,89.86,1
TRAAQCK128F92E8C33,264.69832,9,-5.871,1,156.097,4
TRAAQIH128F428BDEA,192.1824,6,-6.258,1,155.038,4
TRAAQUC128F9322A82,229.79873,4,-12.772,1,135.175,3
TRAAQZQ128EF35C51A,266.70975,9,-12.658,1,90.908,3
TRAARSF12903CD1B12,100.5971,8,-10.777,1,159.895,5
TRAASFP128F42980BD,327.8624,0,-6.531,1,125.975,4
TRAASGM128EF34DBB0,286.30159,1,-6.933,1,154.09,4
TRAASQC128F93480F0,218.8273,4,-3.803,1,186.254,4
TRAASUZ128F9314950,224.522,7,-6.694,1,94.057,4
TRAATIU128F4291A84,233.58649,2,-3.937,1,89.78,4
TRAATMY128F149562F,485.19791,3,-7.614,1,134.083,4
TRAATNJ128F42631BA,288.49587,10,-5.912,1,160.022,3
TRAATPA128F146753C,181.55057,1,-9.334,1,120.097,4
TRAAUEO128E0780CB9,241.52771,10,-7.255,0,108.264,4
TRAAUGD128F42734DA,226.82077,9,-7.684,1,119.524,4
TRAAUMN128F4273561,279.2224,11,-6.582,0,68.734,4
TRAAUZX128F92F3D53,256.80934,7,-7.307,1,201.802,3
TRAAVGB12903CFAA99,159.03302,9,-9.668,1,165.668,3
TRAAVOK12903CC4773,239.98649,9,-5.627,0,144.836,3
TRAAVOU128F422F292,229.642,2,-1.998,1,108.499,4
TRAAVRJ128F92FF90A,143.98649,11,-7.901,0,193.978,4
TRAAWGY128F4298A09,182.09914,1,-10.7,1,210.8,7
TRAAWOR128F92DF3C8,205.21751,4,-4.332,1,82.205,4
TRAAWQD12903CAA968,131.05587,4,-15.672,1,121.563,1
TRAAXIR128F92D1938,165.66812,0,-10.917,0,128.459,5
TRAAXMX128F9307699,153.28608,1,-7.535,1,125.558,4
TRAAXUY128F426BA55,168.38485,9,-12.77,1,98.49,1
TRAAYPN128F9340DDF,247.77098,5,-8.901,1,85.157,4
TRAAZBD128F427A97D,266.4224,6,-5.947,0,80.149,4
TRAAZGC12903CB5DFB,313.7824,7,-11.488,1,107.197,3
TRAAZKV12903CDDFE0,356.41424,1,-7.598,1,130.861,4
TRAAZQW128F93430DC,224.60036,8,-13.256,1,210.871,4
TRABAFJ128F42AF24E,236.25098,0,-5.12,1,112.787,4
TRABBOP128F931B50D,236.17261,9,-4.954,1,129.122,4
TRABBXU128F92FEF48,207.43791,9,-11.255,1,97.538,4
TRABCIX128F4265903,305.162,9,-6.301,1,105.003,4
TRABCKL128F423A778,279.97995,7,-6.294,0,110.218,4
TRABDTV128E0791839,338.1024,1,-6.318,1,185.88,4
TRABEBP12903C9BA03,213.49832,2,-5.537,1,202.233,4
TRABEKF128F42765FF,305.89342,5,-4.053,1,124.872,1
TRABEXK12903CCE19B,269.76608,7,-6.996,1,101.01,4
TRABFKN12903CAF61B,221.67465,2,-2.838,1,91.483,4
TRABFZX128F4241355,230.86975,0,-3.325,1,97.151,4
TRABGHG128F934B27E,212.61016,7,-8.548,1,116.11,4
TRABGLK128F9338730,233.03791,0,-8.499,0,144.003,4
TRABGMB12903CF50FE,149.99465,9,-5.165,0,120.001,4
TRABHBA128F424CF80,281.46893,1,-4.583,0,92.044,3
TRABHVL128F92EFB0E,215.53587,0,-2.315,1,188.924,4
TRABHWW128F424E9D2,234.70975,7,-8.299,1,126.342,3
TRABIPA128F1458F79,492.30322,9,-12.091,1,193.56,4
TRABIZY128F933C696,196.49261,7,-10.324,1,127.298,4
TRABJIX128C7196953,256.10404,10,-7.758,1,91.198,4
TRABJWA128F9309C09,291.02975,7,-4.507,1,179.988,3
TRABKBS128F42823EC,237.42649,7,-4.621,1,80.41,4
TRABLGI128F42B867A,172.19873,6,-4.806,1,131.079,4
TRABLLK128F428FFAF,359.73179,6,-7.301,0,133.383,4
TRABLMN128E0792687,180.97587,2,-3.637,1,142.68,4
TRABLQE128F92E5E75,204.93016,11,-4.941,1,90.636,4
TRABLTP128F930DC6D,257.59302,0,-9.224,1,121.232,4
TRABLYQ128F429A9F8,251.81995,2,-8.654,0,229.913,3
TRABMZZ128F4249C60,136.95955,0,-3.806,0,85.771,4
TRABNET128F14560AC,202.94485,6,-18.863,0,133.398,1
TRABNEX128F92C9DEA,466.65098,9,-7.714,1,114.73,4
TRABNLE128EF34B85D,262.55628,2,-7.499,1,93.015,4
TRABOOL128F426E836,293.92934,5,-9.464,0,163.567,4
TRABOXX128F92F29EB,187.6371,5,-7.188,0,150.066,4
TRABPAU128F429C1BD,169.56036,4,-4.969,1,88.001,3
TRABPGO128F931B50C,174.81098,7,-3.235,1,86.62,4
TRABPHE128F42A1E65,307.56526,0,-5.959,1,100.051,4
TRABPJW128F147295E,216.86812,11,-13.774,0,179.575,1
TRABPUI12903CF22CE,146.59873,0,-7.249,1,160.009,4
TRABQZK128F92F54F4,148.1922,4,-19.976,1,115.066,1
TRABRMJ128E0780E42,225.12281,7,-7.315,1,200.716,1
TRABRMZ128F4261DED,329.58649,7,-7.951,0,182.168,4
TRABRRN12903CF084B,287.03302,9,-26.626,1,79.734,1
TRABSAR128F42324A8,250.3571,7,-5.766,1,125.086,1
TRABSEN128F424AA36,243.25179,4,-6.883,0,135.072,4
TRABTXS128F92E2FDC,362.31791,2,-6.762,1,90.027,4
TRABUDK128F14943F3,231.18322,5,-9.647,1,92.98,1
TRABUIN128F93022FF,327.88853,10,-5.703,0,127.0,4
TRABUUH128F4241346,180.50567,8,-4.44,1,104.984,4
TRABUVN128F930633C,280.45016,7,-6.876,1,97.02,4
TRABUZC128E078603F,265.22077,10,-2.542,0,185.094,4
TRABVWG128F9359323,254.01424,7,-7.199,1,127.745,4
TRABWPT128F42B06CC,190.56281,2,-10.548,1,89.966,4
TRABXLH128F935F8E7,141.19138,8,-9.56,1,91.704,4
TRABXPR128F92F27FE,240.43057,1,-4.714,1,97.148,4
TRABXVE128F4284AFC,194.35057,7,-13.047,1,151.5,4
TRABYAR128F931B1A4,298.37016,9,-6.311,0,111.903,4
TRABYEY128F933773A,359.6273,6,-10.609,1,141.334,1
TRABYOS12903CC4A81,221.12608,7,-21.978,1,70.331,1
TRABYVN128F429E5CF,234.52689,4,-6.022,1,167.909,4
TRABZCL128E0789AED,290.97751,7,-15.546,1,121.773,4
TRABZRZ128F42628AD,324.85832,7,-10.086,1,102.756,3
TRACASH128F931C969,271.12444,0,-6.051,1,152.461,4
TRACBLO128E0784286,235.41506,4,-5.492,1,129.318,4
TRACBRM128F425C2C3,148.00934,9,-13.607,1,112.071,4
TRACBWP128C7196948,230.42567,4,-5.981,0,86.82,4
TRACBWQ128F92F2B91,188.94322,4,-17.714,1,99.076,1
TRACBWX128F92FD725,260.54485,1,-5.202,1,129.984,4
TRACCEJ128F93257ED,311.53587,0,-12.743,1,106.742,4
