,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18
TRAYYAU128F92D58D0,0.0669786816139,0.000597371565129,0.451821313371,0.000597371683621,0.000597371565114,0.000597371568419,0.000597371757849,0.000597371565675,0.000597371606597,0.0120464728222,0.000597371599127,0.000597371726767,0.00059737163103,0.0821282869194,0.000597371680839,0.379259414192,0.000597371566708,0.000597371565114
TRARURM128F931A91B,0.467319088374,0.00104821803038,0.51590942204,0.00104821809382,0.00104821803611,0.00104821803332,0.00104821805035,0.00104821804337,0.00104821811443,0.00104821853414,0.00104821807099,0.00104821806754,0.00104821810517,0.00104821806418,0.0010482181881,0.00104821807353,0.00104821805097,0.00104821802982
TRAMSSK128F92FDC80,0.0752178498495,0.000603864751689,0.553078564139,0.0332354705495,0.000603864821961,0.000603864770172,0.000603864811757,0.000603864738631,0.0428945147891,0.000603864736765,0.000603864856104,0.000603864782956,0.0893462640646,0.000603864774149,0.000603864847546,0.198980959221,0.000603864762229,0.0006038647343
TRAAMPA128F92E7D0D,0.000782472647192,0.000782472613459,0.299871948497,0.000782472692189,0.000782472618745,0.043061346128,0.000782472623208,0.000782472614588,0.000782472628403,0.211427988734,0.000782472620285,0.000782472632283,0.000782472681941,0.00078247262984,0.434684099725,0.00078247266367,0.000782472626465,0.000782472623226
TRAWHZK12903CB5A01,0.000638569659758,0.000638569620069,0.000638569700942,0.000638569723448,0.000638569604087,0.000638569604087,0.000638569627935,0.000638569604087,0.0863150452132,0.00063856961706,0.000638569614027,0.0006385696118,0.000638569681716,0.000638569638947,0.570946132457,0.000638569684836,0.000638569605321,0.333160277732
TRAMGQR128E0786CA7,0.00277777777778,0.00277777777778,0.00277777777778,0.00277777779902,0.00277777777778,0.402777779544,0.00277777777778,0.00277777777778,0.00277777777778,0.00277777777778,0.00277777777778,0.102777776884,0.00277777784264,0.00277777777778,0.00277777777778,0.0027777780475,0.00277777777778,0.452777776549
TRASQCW12903CA07D9,0.000816993492489,0.000816993493475,0.563311872371,0.000816993497384,0.000816993464052,0.000816993464052,0.114933287511,0.000816993777085,0.000816993577935,0.309499937396,0.000816993465908,0.000816993477997,0.000816993520948,0.000816993503898,0.000816993557407,0.000816993500283,0.000816993465903,0.000816993464052
TRALKHJ128F92E9D36,0.000841750865357,0.000841750870917,0.087725555374,0.000841750919344,0.000841750848093,0.000841750841751,0.0320526724607,0.000841750845012,0.000841750859704,0.000841750842355,0.0164509278868,0.500426811841,0.000841750980264,0.000841750969256,0.352401270968,0.00084175089994,0.000841750880565,0.000841750846663
TRBIJMU12903CF892B,0.000561167319735,0.000561167227834,0.394773967652,0.000561167365444,0.000561167227834,0.000561167227834,0.142601321021,0.000561167231197,0.000561167277188,0.000561167245556,0.000561167237418,0.109988800215,0.000561167337694,0.000561167272188,0.126333080202,0.219007656399,0.00056116730652,0.000561167233939
TRARXIT128F423DC97,0.000624219747701,0.160894858953,0.000624219800715,0.000624219785393,0.000624219725949,0.000624219725344,0.000624219727151,0.107477553807,0.000624219761525,0.0109282631857,0.0243998627698,0.000624219807382,0.241885751638,0.000624219735504,0.446923072574,0.000624219805799,0.000624219725671,0.000624219725461
TRABGLK128F9338730,0.000624219811578,0.000624219725343,0.00062421977166,0.000624219783102,0.000624219725769,0.000624219725343,0.000624219765867,0.772723320518,0.000624219857491,0.000624219735987,0.000624219725951,0.000624219743882,0.178129670444,0.000624219744022,0.0397837126459,0.000624219813994,0.000624219725343,0.000624219736837
TRACXYU128F425EEE8,0.000957854408028,0.00095785440613,0.000957854440596,0.000957854431723,0.000957854408144,0.983716473576,0.00095785440613,0.00095785440613,0.000957854432844,0.00095785440613,0.000957855701342,0.000957854415622,0.000957854431534,0.000957854473097,0.000957854409763,0.000957854418616,0.000957854410481,0.00095785441739
